date,close,congestion
2023-07-26,3223.03,0.3813
2023-07-27,3216.67,0.3699
2023-07-28,3275.93,0.4232
2023-07-31,3291.04,0.415
2023-08-01,3290.95,0.403
2023-08-02,3261.69,0.3993
2023-08-03,3280.46,0.4229
2023-08-04,3288.08,0.4617
2023-08-07,3268.83,0.4225
2023-08-08,3260.62,0.4137
2023-08-09,3244.49,0.3998
2023-08-10,3254.56,0.4201
2023-08-11,3189.25,0.3988
2023-08-14,3178.43,0.4007
2023-08-15,3176.18,0.4008
2023-08-16,3150.13,0.4152
2023-08-17,3163.74,0.3922
2023-08-18,3131.95,0.3746
2023-08-21,3092.98,0.3871
2023-08-22,3120.33,0.3926
2023-08-23,3078.4,0.3975
2023-08-24,3082.24,0.4069
2023-08-25,3064.07,0.3747
2023-08-28,3098.64,0.4027
2023-08-29,3135.89,0.3721
2023-08-30,3137.14,0.3728
2023-08-31,3119.88,0.3686
2023-09-01,3133.25,0.372
2023-09-04,3177.06,0.373
2023-09-05,3154.37,0.3784
2023-09-06,3158.08,0.37
2023-09-07,3122.35,0.3731
2023-09-08,3116.72,0.3837
2023-09-11,3142.78,0.3806
2023-09-12,3137.06,0.3913
2023-09-13,3123.07,0.3676
2023-09-14,3126.55,0.3917
2023-09-15,3117.74,0.3817
2023-09-18,3125.93,0.3733
2023-09-19,3124.96,0.372
2023-09-20,3108.57,0.3784
2023-09-21,3084.7,0.3939
2023-09-22,3132.43,0.4225
2023-09-25,3115.61,0.4066
2023-09-26,3102.27,0.429
2023-09-27,3107.32,0.4007
2023-09-28,3110.48,0.396
2023-10-09,3096.92,0.3872
2023-10-10,3075.24,0.4047
2023-10-11,3078.96,0.4058
2023-10-12,3107.9,0.4228
2023-10-13,3088.1,0.4155
2023-10-16,3073.81,0.4062
2023-10-17,3083.5,0.4121
2023-10-18,3058.71,0.438
2023-10-19,3005.39,0.4524
2023-10-20,2983.06,0.4291
2023-10-23,2939.29,0.4042
2023-10-24,2962.24,0.4204
2023-10-25,2974.11,0.4142
2023-10-26,2988.3,0.4174
2023-10-27,3017.78,0.3802
2023-10-30,3021.55,0.3764
2023-10-31,3018.77,0.3869
2023-11-01,3023.08,0.3917
2023-11-02,3009.41,0.3875
2023-11-03,3030.8,0.3723
2023-11-06,3058.41,0.377
2023-11-07,3057.27,0.3984
2023-11-08,3052.37,0.3946
2023-11-09,3053.28,0.4094
2023-11-10,3038.97,0.4061
2023-11-13,3046.53,0.3752
2023-11-14,3056.07,0.3826
2023-11-15,3072.83,0.3776
2023-11-16,3050.93,0.3772
2023-11-17,3054.37,0.3745
2023-11-20,3068.32,0.3476
2023-11-21,3067.93,0.3517
2023-11-22,3043.61,0.3618
2023-11-23,3061.86,0.3654
2023-11-24,3040.97,0.3529
2023-11-27,3031.7,0.3446
2023-11-28,3038.55,0.3485
2023-11-29,3021.69,0.3533
2023-11-30,3029.67,0.3521
2023-12-01,3031.64,0.3757
2023-12-04,3022.91,0.3705
2023-12-05,2972.3,0.3617
2023-12-06,2968.93,0.3748
2023-12-07,2966.21,0.3755
2023-12-08,2969.56,0.3792
2023-12-11,2991.44,0.363
2023-12-12,3003.44,0.3756
2023-12-13,2968.76,0.3621
2023-12-14,2958.99,0.3621
2023-12-15,2942.56,0.3678
2023-12-18,2930.8,0.3489
2023-12-19,2932.39,0.3636
2023-12-20,2902.11,0.3611
2023-12-21,2918.71,0.3622
2023-12-22,2914.78,0.3627
2023-12-25,2918.81,0.3543
2023-12-26,2898.88,0.3591
2023-12-27,2914.61,0.3774
2023-12-28,2954.7,0.3736
2023-12-29,2974.93,0.3546
2024-01-02,2962.28,0.3437
