stock_code,result
600130,"
StockCode: 600130, Final Capital: 10539.0 CNY, Winning Rate: 27.03%, 持仓：1, 最后一次购买日期为：2025-05-13 00:00:00, 买入价格：2.99"
600125,"
StockCode: 600125, Final Capital: 11404.0 CNY, Winning Rate: 38.24%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：5.86"
600148,"
StockCode: 600148, Final Capital: 22572.0 CNY, Winning Rate: 37.5%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：17.46"
600133,"
StockCode: 600133, Final Capital: 7275.0 CNY, Winning Rate: 25.71%, 持仓：1, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：9.33"
600137,"
StockCode: 600137, Final Capital: 9727.0 CNY, Winning Rate: 29.73%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：15.32"
600138,"
StockCode: 600138, Final Capital: 7530.0 CNY, Winning Rate: 23.68%, 持仓：0, 最后一次购买日期为：2025-02-26 00:00:00, 买入价格：9.97"
600155,"
StockCode: 600155, Final Capital: 11055.0 CNY, Winning Rate: 26.47%, 持仓：0, 最后一次购买日期为：2025-05-12 00:00:00, 买入价格：6.68"
600151,"
StockCode: 600151, Final Capital: 12142.0 CNY, Winning Rate: 24.24%, 持仓：0, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：6.68"
600152,"
StockCode: 600152, Final Capital: 12285.0 CNY, Winning Rate: 38.71%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：5.87"
600156,"
StockCode: 600156, Final Capital: 20720.0 CNY, Winning Rate: 53.12%, 持仓：1, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：5.3"
600153,"
StockCode: 600153, Final Capital: 8068.0 CNY, Winning Rate: 24.32%, 持仓：0, 最后一次购买日期为：2025-04-22 00:00:00, 买入价格：10.38"
600158,"
StockCode: 600158, Final Capital: 6759.0 CNY, Winning Rate: 20.51%, 持仓：0, 最后一次购买日期为：2025-05-21 00:00:00, 买入价格：8.15"
600159,"
StockCode: 600159, Final Capital: 12035.0 CNY, Winning Rate: 29.73%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：2.5"
600157,"
StockCode: 600157, Final Capital: 12106.0 CNY, Winning Rate: 31.25%, 持仓：0, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：1.37"
600161,"
StockCode: 600161, Final Capital: 9898.0 CNY, Winning Rate: 35.48%, 持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：20.71"
600160,"
StockCode: 600160, Final Capital: 13650.0 CNY, Winning Rate: 43.75%, 持仓：0, 最后一次购买日期为：2025-04-22 00:00:00, 买入价格：24.45"
600165,"
StockCode: 600165, Final Capital: 22650.0 CNY, Winning Rate: 33.33%, 持仓：0, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：4.84"
600163,"
StockCode: 600163, Final Capital: 11428.0 CNY, Winning Rate: 32.26%, 持仓：0, 最后一次购买日期为：2025-04-23 00:00:00, 买入价格：5.63"
600173,"
StockCode: 600173, Final Capital: 11041.0 CNY, Winning Rate: 25.0%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：6.76"
600166,"
StockCode: 600166, Final Capital: 8771.0 CNY, Winning Rate: 29.03%, 持仓：1, 最后一次购买日期为：2025-04-24 00:00:00, 买入价格：2.57"
600162,"
StockCode: 600162, Final Capital: 9331.0 CNY, Winning Rate: 23.08%, 持仓：0, 最后一次购买日期为：2025-03-14 00:00:00, 买入价格：1.83"
600168,"
StockCode: 600168, Final Capital: 14896.0 CNY, Winning Rate: 41.94%, 持仓：1, 最后一次购买日期为：2025-05-27 00:00:00, 买入价格：4.66"
600169,"
StockCode: 600169, Final Capital: 13410.0 CNY, Winning Rate: 34.38%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：2.34"
600170,"
StockCode: 600170, Final Capital: 13288.0 CNY, Winning Rate: 17.14%, 持仓：0, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：2.59"
600167,"
StockCode: 600167, Final Capital: 7101.0 CNY, Winning Rate: 22.22%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：5.79"
600176,"
StockCode: 600176, Final Capital: 8674.0 CNY, Winning Rate: 25.0%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：11.76"
